Country,Year,Status,Life expectancy,Adult Mortality,Alcohol,Percentage expenditure,BMI,Under-five deaths,Total expenditure,GDP,Population,Thinness 1-19 years,Thinness 5-9 years,Income composition of resources,Schooling,Average temperature,CO2 Emissions,Colesterol,Fumar
Austria,2000,0,78.1,96,13.2,2269.13,5.1,0,1.6,24517.26745,811566,1.7,1.9,0.833,15.4,7.99,7.9,3.9,52.3
Austria,2001,0,78.6,92,12.4,2282.52,5.6,0,1.12,24489.73553,842293,1.7,1.9,0.837,15.5,7.04,8.4,3.9,
Austria,2002,0,78.7,9,12.5,2497.87,51.2,0,1.27,26351.37568,881957,1.7,1.9,0.847,16.1,7.74,8.6,3.9,
Austria,2003,0,78.8,88,12.2,3091.24,51.7,0,1.48,3212.9355,8121423,1.7,1.9,0.837,14.7,7.37,9.2,3.8,
Austria,2004,0,79.3,86,12.1,3594.65,52.2,0,1.56,36693.4262,8171966,1.7,1.9,0.841,14.7,6.77,9.3,3.8,
Austria,2005,0,79.4,85,12.4,3710.4,52.7,0,1.53,38242.4252,8227829,1.7,1.9,0.848,14.9,6.43,9.3,3.8,43.8
Austria,2006,0,79.8,81,12.4,3882.98,53.2,0,1.35,443.99361,8268641,1.7,1.9,0.854,15,7.23,9,3.7,
Austria,2007,0,81,8,12.5,4478.77,53.7,0,1.4,46586.6525,8295487,1.7,1.9,0.86,15.2,7.81,8.6,3.7,
Austria,2008,0,84,76,12,5057.76,54.2,0,1.6,51386.37665,8321496,1.7,1.9,0.864,15.1,7.67,8.5,3.7,
Austria,2009,0,82,77,11.3,4928.99,54.7,0,11.19,47654.18721,8343323,1.7,1.9,0.87,15.3,7.51,7.7,3.7,
Austria,2010,0,84,75,12.1,4800.79,55.2,0,11.17,46657.629,836344,1.7,1.9,0.872,15.4,6.55,8.4,3.6,37.1
Austria,2011,0,88,73,12.04,5167.82,55.7,0,1.94,51126.74139,8391643,1.7,2,0.88,15.7,7.92,8.1,3.6,
Austria,2012,0,88,7,12.26,4966.1,56.1,0,11.17,48333.57273,8429991,1.8,2,0.884,15.7,7.7,7.7,3.6,
Austria,2013,0,81.1,68,11.82,5235.34,56.6,0,11.14,554.71532,8479375,1.8,2,0.887,15.7,7.37,7.8,3.6,
Austria,2014,0,81.4,66,12.32,5393.6,57.1,0,11.21,51322.63997,8541575,1.8,2,0.892,15.9,8.37,7.3,3.5,
Austria,2015,0,81.5,65,11.6,4612.82,57.6,0,10.37,43665.947,8633169,1.9,2.1,0.892,15.9,8.31,7.3,3.5,31.2
Belgium,2000,0,77.6,11,11.21,1849.93,58.1,1,8.12,2327.4591,125125,0.8,0.8,0.869,18,10.97,11.4,3.8,33.4
Belgium,2001,0,78,1,11.01,1879.93,58.5,1,8.29,23121.56635,128657,0.8,0.8,0.873,18.2,10.49,11.5,3.7,
Belgium,2002,0,78,99,11.29,2084.72,59,1,8.46,2552.3328,1332785,0.8,0.8,0.875,18.8,10.91,10.7,3.6,
Belgium,2003,0,78.3,95,11.28,2814.88,59.4,1,9.3,3743.95693,1376133,0.8,0.8,0.878,18.6,10.79,11.1,3.6,
Belgium,2004,0,78.8,91,12.05,3312.74,59.8,1,9.32,35589.71295,1421137,0.8,0.8,0.88,18.8,10.39,10.9,3.5,
Belgium,2005,0,78.9,89,12.27,3405.89,6.2,1,9.24,36967.28292,1478617,0.8,0.8,0.861,15.7,10.7,10.6,3.5,30.5
Belgium,2006,0,79.4,85,10.98,3545.93,6.6,1,9.17,38852.3613,1547958,0.8,0.8,0.865,15.7,10.99,10.2,3.4,
Belgium,2007,0,79.5,86,10.25,4064.88,6.9,1,9.25,4443.83131,16257,0.8,0.8,0.871,15.8,11.1,9.8,3.4,
Belgium,2008,0,79.5,87,10.47,4653.51,61.3,1,9.6,48424.58927,179973,0.8,0.8,0.874,15.8,10.58,10,3.3,
Belgium,2009,0,79.8,85,10.05,4638.44,61.6,1,1.39,4488.5615,1796493,0.9,0.9,0.876,15.8,10.65,9.3,3.3,
Belgium,2010,0,80,81,10.22,4531.03,61.9,1,1.17,4438.23741,1895586,0.9,0.9,0.878,15.9,9.37,9.8,3.3,28
Belgium,2011,0,83,8,10.11,4930.14,62.3,1,1.42,4772.77415,1147744,0.9,0.9,0.884,16.1,11.2,8.7,3.2,
Belgium,2012,0,83,78,10.08,4694.46,62.6,1,1.54,4474.5717,11128246,0.9,0.9,0.886,16.2,10.44,8.6,3.2,
Belgium,2013,0,87,77,11.77,4941.97,63,1,1.57,4651.38647,11182817,1,0.9,0.889,16.3,9.93,8.7,3.2,
Belgium,2014,0,89,76,12.6,5063.93,63.4,1,1.59,47439.39684,112957,1,1,0.89,16.3,11.72,8.1,3.1,
Belgium,2015,0,81.1,74,10.36,4432.7,63.7,1,10.77,4356.875,11274196,1,1,0.895,16.6,11.08,8.4,3.1,25.7
Bulgaria,2000,0,71.1,163,9.69,94.52,57,1,6.7,169.28586,817172,2.5,2.5,0.709,12.9,11.53,5.3,4,47.5
Bulgaria,2001,0,71.6,16,10.72,119.83,57.5,1,7.23,1764.97387,89142,2.4,2.5,0.713,12.9,11.44,5.8,4,
Bulgaria,2002,0,71.8,157,10.2,148.15,58.1,1,7.41,287.534843,7837161,2.4,2.4,0.723,12.9,11.51,5.6,3.9,
Bulgaria,2003,0,72,155,11.19,195.74,58.6,1,7.43,271.46824,7775327,2.3,2.4,0.729,12.9,10.68,6.2,3.9,
Bulgaria,2004,0,72.2,157,10.96,233.11,59.1,1,7.9,3381.57837,771686,2.3,2.3,0.738,13.3,11.06,6.1,3.9,
Bulgaria,2005,0,72.1,16,10.48,267.74,59.7,1,7.8,3893.68998,7658972,2.2,2.3,0.745,13.5,10.68,6.3,3.8,45
Bulgaria,2006,0,72.2,161,10.39,294.11,6.3,1,6.67,4513.13628,76122,2.2,2.2,0.75,13.5,10.85,6.4,3.8,
Bulgaria,2007,0,72.6,157,10.89,361.23,6.9,1,6.41,5932.899677,7545338,2.1,2.2,0.755,13.5,11.94,7,3.8,
Bulgaria,2008,0,72.9,155,10.98,455.54,61.5,1,6.61,7296.122479,7492561,2.1,2.1,0.761,13.8,11.84,6.7,3.8,
Bulgaria,2009,0,73.2,152,10.93,459.3,62.1,1,6.78,6955.987733,7444443,2,2.1,0.768,13.8,11.81,5.8,3.7,
Bulgaria,2010,0,73.4,147,10.8,484.75,62.7,1,7.24,6843.263289,7395599,2,2,0.77,13.9,11.77,6,3.7,42.9
Bulgaria,2011,0,73.7,144,10.67,555.86,63.3,1,6.88,7813.83499,7348328,2,2,0.775,14.2,10.86,6.8,3.7,
Bulgaria,2012,0,73.9,139,10.99,558.65,63.9,1,7.11,7378.25539,735888,1.9,1.9,0.778,14.3,11.87,6.2,3.7,
Bulgaria,2013,0,74.1,14,12.06,547.45,64.5,1,7.93,7674.86559,7265115,1.9,1.9,0.781,14.4,11.96,5.5,3.6,
Bulgaria,2014,0,74.3,138,12.03,605.26,65.1,1,8.44,7853.335191,7223938,1.9,1.9,0.787,14.8,12,5.8,3.6,
Bulgaria,2015,0,74.5,137,10.89,521.42,65.7,1,7.39,6993.47736,7177991,1.9,1.8,0.792,15,11.85,6.2,3.5,40.7
Croatia,2000,0,74.7,127,12.73,371.06,54.7,0,7.66,4919.62869,4426,2.1,2.1,0.739,12.2,12.57,4,3.9,34.4
Croatia,2001,0,74.9,126,13.15,388.32,55.2,0,7.16,5245.421419,444,2,2,0.749,12.3,11.66,4.5,3.9,
Croatia,2002,0,74.8,124,13.39,386.44,55.8,0,6.19,653.71637,444,2,2,0.759,12.6,12.29,4.7,3.9,
Croatia,2003,0,74.7,122,13.78,512.15,56.3,0,6.35,785.881418,444,1.9,1.9,0.765,12.9,11.88,5,3.9,
Croatia,2004,0,75.4,114,13.11,634.62,56.9,0,6.56,9365.742468,4439,1.9,1.9,0.771,13.3,11.27,4.9,3.8,
Croatia,2005,0,75.2,116,11.59,727.13,57.5,0,6.89,1224.2459,4442,1.8,1.8,0.777,13.6,10.86,5,3.8,34.9
Croatia,2006,0,75.9,113,11.83,816.02,58.1,0,6.95,11363.41845,444,1.8,1.8,0.783,13.9,11.68,5,3.8,
Croatia,2007,0,75.8,114,12.56,1041.03,58.7,0,7.44,13546.69872,4436,1.8,1.7,0.793,14.3,12.46,5.3,3.8,
Croatia,2008,0,76,116,12.06,1258.87,59.4,0,7.7,15893.8656,443458,1.7,1.7,0.8,14.3,12.37,5,3.8,
